X_12,Y_12,C_12,X_13,Y_13,C_13,X_14,Y_14,C_14
1130.7,394.875,0.159566,1542.86,547.952,0.534354,1569.28,983.555,0.181222
1133.64,394.93,0.171559,1542.81,545.045,0.449439,1566.25,986.482,0.215303
1130.72,394.931,0.175774,1539.9,547.922,0.505668,1566.22,986.461,0.195209
1136.57,397.845,0.168804,1542.72,547.987,0.543935,1563.46,983.525,0.204449
1130.73,394.91,0.171088,1542.74,550.749,0.570516,1566.22,983.565,0.208286
1127.78,391.979,0.189455,1542.69,547.967,0.587357,1566.28,986.514,0.21519
1130.71,397.863,0.157609,1542.77,547.894,0.51009,1569.26,989.444,0.17449
1127.77,394.913,0.159528,1542.86,550.778,0.651766,1572.18,986.51,0.209428
1118.93,391.986,0.157237,1539.83,539.119,0.352329,1572.27,983.57,0.148814
1110.11,391.942,0.156948,1542.75,542.024,0.298029,1583.93,989.415,0.169651
1116.01,389.049,0.171853,1539.88,545.009,0.415545,1586.86,980.648,0.326766
1113.05,391.966,0.159088,1539.89,544.972,0.368063,1589.85,986.489,0.205676
1130.7,392.016,0.182938,1357.35,477.344,0.136033,1519.28,556.747,0.0964955
1118.96,389.061,0.202127,1351.49,477.251,0.14601,1519.2,562.685,0.0610475
1116.02,389.043,0.201031,1354.37,474.356,0.146617,1495.7,618.6,0.0708453
1113.06,389.081,0.176195,1316.14,471.453,0.0669746,1372.05,447.9,0.0624883
1107.14,389.03,0.173282,1539.75,545.01,0.356989,1589.95,995.321,0.197796
1116,391.928,0.169863,1542.79,550.801,0.56164,1589.77,992.374,0.234963
1115.98,391.956,0.168693,1542.72,547.977,0.490809,1586.83,980.639,0.247355
1110.1,392,0.146119,1542.84,550.788,0.590075,1583.94,980.579,0.187585
1113.04,391.987,0.148692,1542.76,547.898,0.503089,1578.12,977.721,0.18614
1115.99,394.904,0.135022,1542.76,547.932,0.538344,1572.26,974.755,0.185504
1115.98,394.891,0.136689,1542.79,547.911,0.58065,1572.17,977.679,0.247434
1107.15,391.976,0.156695,1542.79,547.894,0.593798,1569.31,977.63,0.257685
1115.99,391.98,0.166639,1542.81,545.042,0.516838,1572.19,977.7,0.185799
1113.03,391.976,0.166435,1542.85,547.932,0.613792,1569.34,977.672,0.222377
1110.11,394.872,0.160191,1545.66,547.961,0.62443,1572.24,980.612,0.26704
1115.99,394.901,0.167642,1545.7,547.982,0.623517,1572.17,980.62,0.209173
1113.02,394.867,0.186193,1542.77,547.874,0.477963,1575.19,983.542,0.139462
1110.12,394.871,0.173149,1542.76,547.925,0.472927,1581.05,980.614,0.188049
1113.07,391.954,0.178551,1542.8,547.97,0.503704,1586.8,983.515,0.175086
1118.95,394.904,0.141996,1542.69,545.043,0.457014,1586.98,989.454,0.159302
1121.89,391.96,0.16461,1542.83,544.943,0.413547,1589.84,992.386,0.2105
1124.83,391.972,0.159541,1542.78,544.941,0.421295,1589.91,995.316,0.185901
1124.82,391.98,0.154774,1542.74,544.938,0.417047,1589.96,995.293,0.156929
1124.83,391.957,0.156045,1542.82,545.02,0.426437,1589.97,995.309,0.188416
1127.75,392,0.140291,1542.8,542.021,0.380071,1592.76,995.258,0.161141
1121.9,392,0.128634,1542.81,545.011,0.427208,1592.74,995.274,0.186841
1118.94,394.875,0.14006,1542.76,542.042,0.399846,1589.99,992.379,0.211052
1118.96,392.002,0.136981,1542.85,542.009,0.370414,1589.94,992.398,0.170984
1124.84,394.895,0.138443,1542.8,542.046,0.395366,1589.93,998.219,0.151261
1121.89,391.989,0.142307,1545.68,545.023,0.483137,1589.88,992.388,0.195185
1118.93,391.988,0.14762,1542.86,547.933,0.58565,1586.88,986.475,0.349973
1124.81,394.881,0.146789,1545.68,547.921,0.528817,1584.01,980.573,0.246673
1121.9,392.005,0.161421,1545.7,547.889,0.47651,1583.98,986.456,0.155893
1113.06,391.925,0.170978,1545.68,544.977,0.356166,1583.96,983.523,0.122963
1118.91,391.958,0.166389,1542.81,544.987,0.36589,1583.89,980.651,0.172288
1113.03,389.061,0.174013,1542.81,544.987,0.362181,1583.91,986.466,0.131017
1110.12,391.948,0.167803,1542.84,545.003,0.316045,1583.91,989.412,0.132073
1115.99,391.993,0.154222,1545.71,545.017,0.404201,1583.89,983.548,0.202259
1118.93,391.981,0.168838,1542.83,545.032,0.412908,1583.89,983.541,0.193734
1118.94,391.934,0.173606,1545.71,545.026,0.46456,1583.93,980.647,0.235931
1116.01,389.074,0.18132,1545.7,545.045,0.481091,1586.82,983.563,0.275974
1115.97,391.923,0.175995,1545.69,547.869,0.446128,1586.83,980.638,0.220352
1113.06,391.96,0.166989,1542.8,545.015,0.36743,1586.98,989.399,0.201693
1110.07,389.016,0.194036,1542.85,544.952,0.388574,1589.76,992.381,0.205147
1110.1,389.065,0.186847,1542.69,542.08,0.359299,1589.83,992.409,0.158097
1113.01,389.042,0.196615,1542.79,545.021,0.413386,1589.87,995.268,0.184628
1107.16,388.973,0.165795,1542.78,547.887,0.419586,1589.96,998.21,0.195165
1107.16,386.079,0.16719,1542.8,547.875,0.398134,1589.97,998.218,0.199652
1113.03,388.987,0.165393,1542.69,547.92,0.468178,1589.91,995.341,0.210502
1113.02,391.979,0.162732,1539.89,547.938,0.477171,1589.87,995.29,0.20752
1113.04,391.984,0.144691,1542.75,547.9,0.471046,1589.77,989.45,0.171222
1110.09,391.981,0.136622,1542.76,547.877,0.453865,1589.73,989.425,0.195204
1113.06,394.916,0.141934,1542.72,547.884,0.471125,1587.02,989.443,0.189173
1116,391.958,0.157076,1545.68,545.034,0.433184,1586.92,989.409,0.224796
1118.96,394.913,0.144292,1542.85,547.857,0.504152,1586.81,983.531,0.235601
1118.94,394.912,0.143872,1545.67,545.048,0.456787,1586.83,983.557,0.19825
1118.92,394.897,0.156253,1542.8,544.982,0.408515,1586.83,986.464,0.230093
1118.93,394.928,0.157343,1545.67,547.865,0.509423,1583.97,983.561,0.297466
1121.88,397.846,0.154801,1542.85,545.049,0.48808,1584,983.512,0.273825
1121.88,397.832,0.161344,1542.81,547.843,0.474611,1586.77,983.538,0.251254
1115.98,391.979,0.195938,1542.74,542.1,0.408033,1586.8,983.534,0.204474
1116,391.931,0.185934,1542.74,544.958,0.411202,1587.02,992.374,0.200172
1113.05,391.977,0.18274,1542.79,545.022,0.438754,1589.82,998.209,0.196983
1113.06,389.033,0.18232,1542.76,544.993,0.428911,1589.78,992.373,0.17579
1113.05,389.043,0.175462,1542.78,542.076,0.4173,1589.76,989.468,0.183133
1115.99,389.034,0.186776,1542.76,544.951,0.428037,1589.81,995.274,0.174076
1115.97,391.967,0.171407,1542.74,544.933,0.440011,1589.82,995.305,0.217418
1113.06,389.074,0.177563,1542.79,545.016,0.446752,1589.78,992.411,0.189546
1113.07,391.937,0.181457,1542.75,545.02,0.439287,1589.75,992.358,0.218053
1116.01,394.868,0.162703,1539.88,542.087,0.401486,1589.74,992.4,0.155538
1113.06,391.949,0.178494,1539.86,544.983,0.411962,1586.88,980.624,0.120997
1115.99,391.935,0.183208,1345.57,480.177,0.0577474,1383.83,453.738,0.069133
1113.07,389.068,0.175564,1542.71,544.939,0.413121,1586.85,989.423,0.156637
1115.98,391.943,0.180097,1542.74,544.964,0.412926,1586.87,989.417,0.166985
1113.02,389.017,0.176798,1542.75,542.072,0.380422,1586.8,983.545,0.172096
1107.17,388.991,0.169689,1348.51,480.204,0.0795438,1386.78,456.651,0.0580502
1113.06,389.044,0.156475,1539.84,539.129,0.333484,1586.81,980.609,0.113214
1118.92,391.968,0.159766,1539.86,542.014,0.400609,1586.89,983.567,0.167777
1101.27,388.958,0.169193,1539.84,539.091,0.356788,1586.96,998.211,0.146058
1110.08,389.021,0.168153,1539.84,539.065,0.353251,1586.99,998.25,0.155897
1110.1,389.009,0.174675,1542.71,539.151,0.38556,1586.96,995.312,0.159518
1113.05,389.02,0.179753,1539.9,539.135,0.351614,1586.99,998.245,0.160367
1107.14,386.084,0.185559,1536.92,536.164,0.333555,1586.98,1001.16,0.158377
1110.09,388.997,0.166736,1539.74,539.072,0.323512,1586.96,1001.17,0.154812
1107.16,386.094,0.193586,1357.34,477.256,0.0929362,1398.49,462.581,0.0620992
1107.16,388.964,0.178225,1345.56,471.414,0.102448,1401.44,471.429,0.0657244
1101.26,389.019,0.185411,1345.57,477.339,0.0880957,1398.54,465.529,0.064592
1101.26,389.019,0.185411,1345.57,477.339,0.0880957,1398.54,465.529,0.064592
1104.22,388.966,0.181828,1339.68,480.167,0.0709776,1398.52,465.54,0.0733719
1110.1,389.032,0.158907,1539.88,542.061,0.455017,1554.5,886.424,0.0530744
